                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.4115,                0.88272,                 1.3422,                0.76203,                0.74227,                0.78019,                0.40199,                  1.692,                0.95678,                 1.6103,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.3951,                0.87178,                 1.3243,                0.75944,                0.74433,                0.77408,                0.39516,                 1.6951,                0.97494,                  1.626,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.3778,                0.86161,                 1.3089,                 0.7361,                0.74335,                0.76641,                0.39358,                 1.7034,                0.98326,                 1.6336,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3754,                 0.8557,                 1.3175,                0.76999,                0.72784,                0.78333,                0.40292,                 1.7081,                0.95205,                 1.6291,               0.000317,               0.000317,               0.000317
                     88,                 1.3719,                0.86293,                 1.3107,                0.74741,                0.74124,                0.77679,                0.40125,                  1.696,                0.96177,                 1.6254,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.3853,                0.86503,                 1.3171,                0.73185,                0.74691,                0.76843,                0.39128,                 1.7136,                0.97615,                 1.6322,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.3799,                0.84508,                 1.3137,                0.77061,                0.72526,                0.76933,                0.39751,                 1.6897,                0.96738,                 1.6226,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3811,                0.82504,                 1.3658,                0.74978,                0.72887,                0.76647,                0.39324,                    1.7,                0.97079,                   1.63,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3651,                0.80622,                 1.3631,                0.77771,                0.71289,                0.77272,                0.39724,                 1.7089,                0.97596,                 1.6293,               0.000218,               0.000218,               0.000218
                     93,                 1.3416,                0.79095,                 1.3446,                0.76655,                0.72782,                0.77268,                0.39486,                 1.7026,                0.96695,                 1.6347,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3344,                0.79131,                 1.3454,                0.76238,                0.72766,                0.77211,                0.39542,                 1.7022,                 0.9714,                 1.6401,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3457,                0.78973,                 1.3488,                0.76931,                0.71959,                0.77019,                0.39545,                 1.6938,                0.96663,                 1.6311,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3483,                0.78081,                  1.359,                0.76984,                0.72371,                0.77243,                0.39381,                 1.7026,                0.96947,                  1.631,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3323,                0.78192,                 1.3513,                0.75153,                0.74072,                0.76898,                0.39214,                  1.707,                0.96891,                 1.6356,               0.000119,               0.000119,               0.000119
                     98,                 1.3259,                0.78326,                 1.3371,                0.77578,                0.71649,                0.76604,                0.39064,                 1.6991,                0.97678,                 1.6378,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3155,                0.76658,                 1.3437,                0.75426,                0.73728,                0.77055,                0.39532,                 1.7043,                0.96387,                 1.6367,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                  1.315,                0.76024,                  1.345,                0.76806,                0.72546,                0.76873,                0.39275,                 1.7094,                0.97226,                 1.6444,               5.96e-05,               5.96e-05,               5.96e-05
